trace_name,n_outages,start_min,start_max,dur_median_min,dur_p90_min,ia_median_min,ia_p90_min,severity_mean
Github_user_reported.csv,68,0.0s,37398000.0s,20.0,80.0,4940.0,22827.999999999996,0.2603824138350992
atlassian_statuspage_operator_reported.csv,11,0.0s,95050260.0s,179.93333333333334,540.1833333333333,112231.01666666666,434807.37499999994,0.1205194805194806
discord_global-status_operator_reported.csv,34,0.0s,111607042.0s,179.21666666666667,362.26166666666666,36721.98333333333,107884.83666666667,0.058377175914034574
github-status_global-status_operator_reported.csv,230,0.0s,139720005.0s,179.03333333333333,360.88666666666666,6478.583333333333,21275.596666666668,0.07358695652173915
