severity_load,impact,n,mean_failure_rate_proxy,median_failure_rate_proxy
0.2,none,77,0.2158971851810622,0.0269275217478259
0.4,minor,188,0.4937423012019835,0.0617409612456402
0.7,major,62,0.5033126070460161,0.0357657919564237
0.9,critical,7,0.2612400227550925,0.1419435614262536
