SST (h),Natural Failures,Hard Capacity Removal (%),Natural Loss (%),Total Loss (%),Final Capacity (%),Throttled Load (%),Dropped Load (%),Operational Nodes,alpha,Method,Scenario
4.583333333333333,42,0.0,40.283203280627355,40.283203280627355,59.71678981517727,0.0,0.09222783821371426,58,0.5,No Defence,1
4.266666666666667,39,0.0,41.25808624691634,41.25808624691634,58.7419145382629,0.0,0.10304612116181973,61,0.5,No Defence,2
4.15,41,0.0,41.48362750074635,41.48362750074635,58.51636331216722,0.0,0.1175032054054084,59,0.5,No Defence,3
3.5666666666666664,39,0.0,40.40201848610379,40.40201848610379,59.59797989799408,0.0,0.11682431429107072,61,0.5,No Defence,4
5.033333333333333,44,0.0,40.75940280380584,40.75940280380584,59.240583923708115,0.0,0.08658997249716904,56,0.5,No Defence,5
3.8666666666666667,34,0.0,41.04703141474542,41.04703141474542,58.952966632221425,0.0,0.1208954211163736,66,0.5,No Defence,6
4.2,42,0.0,41.24872115596093,41.24872115596093,58.751276929230926,0.0,0.11250978785460966,58,0.5,No Defence,7
5.366666666666666,43,0.0,40.743651801418615,40.743651801418615,59.25634846623413,0.0,0.07816270037337031,57,0.5,No Defence,8
3.3666666666666667,38,0.0,40.217308533472035,40.217308533472035,59.782691833982284,0.0,0.12870435946357203,62,0.5,No Defence,9
4.233333333333333,42,0.0,40.32871752523462,40.32871752523462,59.67128624516753,0.0,0.09919904223926505,58,0.5,No Defence,10
5.383333333333333,42,0.0,41.36367677395121,41.36367677395121,58.636317312533414,0.0,0.08220059286470381,58,0.5,No Defence,11
4.416666666666667,42,0.0,40.59772917485079,40.59772917485079,59.40225778895304,0.0,0.1014319011710439,58,0.5,No Defence,12
3.7333333333333334,38,0.0,40.846201978994,40.846201978994,59.15379181508483,0.0,0.11397897307529149,62,0.5,No Defence,13
4.533333333333333,40,0.0,41.80736759583312,41.80736759583312,58.19262745316634,0.0,0.10321629651063628,60,0.5,No Defence,14
4.033333333333333,36,0.0,40.004883734691774,40.004883734691774,59.995119561482234,0.0,0.10788404822542165,64,0.5,No Defence,15
5.216666666666667,41,0.0,40.204459385451386,40.204459385451386,59.79553532744949,0.0,0.08619242799457284,59,0.5,No Defence,16
4.45,41,0.0,40.56903708890063,40.56903708890063,59.430961658295715,0.0,0.0996453369617963,59,0.5,No Defence,17
5.55,39,0.0,40.978312688071945,40.978312688071945,59.021682812102895,0.0,0.08007510892629607,61,0.5,No Defence,18
4.483333333333333,38,0.0,40.1243280248169,40.1243280248169,59.875671640932815,0.0,0.09384491908716258,62,0.5,No Defence,19
3.6166666666666667,37,0.0,40.24972994539027,40.24972994539027,59.75027261470506,0.0,0.1149594643011499,63,0.5,No Defence,20
3.3333333333333335,37,0.0,40.15166546007281,40.15166546007281,59.84834401530622,0.0,0.12091753791415992,63,0.5,No Defence,21
5.433333333333334,39,0.0,40.80316566501371,40.80316566501371,59.19684554342145,0.0,0.08120175680688012,61,0.5,No Defence,22
3.0833333333333335,39,0.0,40.692811278205326,40.692811278205326,59.30718861508824,0.0,0.13580108872390584,61,0.5,No Defence,23
4.583333333333333,41,0.0,40.61019275666245,40.61019275666245,59.38980930698763,0.0,0.09489194736876227,59,0.5,No Defence,24
5.0,44,0.0,41.43359878607251,41.43359878607251,58.56640503694398,0.0,0.08649184867496232,56,0.5,No Defence,25
4.166666666666667,43,0.0,40.329397386838,40.329397386838,59.6706018722152,0.0,0.10461946731017999,57,0.5,No Defence,26
4.15,41,0.0,41.333801113995804,41.333801113995804,58.66620736297528,0.0,0.10444807040963014,59,0.5,No Defence,27
4.466666666666667,44,0.0,40.31434420413976,40.31434420413976,59.685657716571136,0.0,0.0975589092133453,56,0.5,No Defence,28
5.233333333333333,41,0.0,40.47424015289324,40.47424015289324,59.52575926333108,0.0,0.08114142304994242,59,0.5,No Defence,29
4.483333333333333,46,0.0,40.212002254051136,40.212002254051136,59.78800915469535,0.0,0.09540446272883735,54,0.5,No Defence,30
3.8666666666666667,36,0.0,40.14663742214843,40.14663742214843,59.85335983868888,0.0,0.11059174281750309,64,0.5,No Defence,31
4.016666666666667,43,0.0,40.12266452637972,40.12266452637972,59.8773387097989,0.0,0.10918695319251537,57,0.5,No Defence,32
4.883333333333333,43,0.0,41.19580673636085,41.19580673636085,58.804190107585896,0.0,0.09113420261154137,57,0.5,No Defence,33
