base_method,compare_method,mean_delta_h,wilcoxon_stat,p_value,paired_cohens_d,holm_adjusted_p_value
GAT-SAC (Ours),+25% Backup,6.099583333333333,0.0,1.8189894035458565e-12,2.745225024151665,9.094947017729282e-12
GAT-SAC (Ours),FC-DQN,13.443333333333332,0.0,1.8189894035458565e-12,5.5310897413224955,9.094947017729282e-12
GAT-SAC (Ours),Heuristic Pruning (Graceful Drain),8.538749999999999,0.0,1.8189894035458565e-12,3.5259694562424735,9.094947017729282e-12
GAT-SAC (Ours),No Defence,9.53,0.0,1.8189894035458565e-12,4.094232362541107,9.094947017729282e-12
GAT-SAC (Ours),+50% Backup,3.211666666666666,16.0,3.0740920919924974e-10,1.4141869574799881,3.0740920919924974e-10
