Drop Fraction,Method,Scenario,SST (h)
0.1,No Defence,1,3.9166666666666665
0.1,No Defence,2,4.083333333333333
0.1,No Defence,3,3.8166666666666664
0.1,No Defence,4,3.183333333333333
0.1,No Defence,5,4.0
0.1,No Defence,6,3.3
0.1,No Defence,7,3.466666666666667
0.1,No Defence,8,3.8
0.1,No Defence,9,3.1
0.1,No Defence,10,4.233333333333333
0.1,No Defence,11,3.35
0.1,No Defence,12,3.4166666666666665
0.1,No Defence,13,3.216666666666667
0.1,No Defence,14,3.8833333333333333
0.1,No Defence,15,3.1666666666666665
0.1,No Defence,16,4.466666666666667
0.1,No Defence,17,3.55
0.1,No Defence,18,4.033333333333333
0.1,No Defence,19,3.3166666666666664
0.1,No Defence,20,3.6166666666666667
0.1,GAT-SAC (Ours),1,10.466666666666667
0.1,GAT-SAC (Ours),2,11.85
0.1,GAT-SAC (Ours),3,9.5
0.1,GAT-SAC (Ours),4,15.466666666666667
0.1,GAT-SAC (Ours),5,13.45
0.1,GAT-SAC (Ours),6,13.183333333333334
0.1,GAT-SAC (Ours),7,12.033333333333333
0.1,GAT-SAC (Ours),8,16.5
0.1,GAT-SAC (Ours),9,12.033333333333333
0.1,GAT-SAC (Ours),10,13.45
0.1,GAT-SAC (Ours),11,12.416666666666666
0.1,GAT-SAC (Ours),12,12.65
0.1,GAT-SAC (Ours),13,11.933333333333334
0.1,GAT-SAC (Ours),14,7.466666666666667
0.1,GAT-SAC (Ours),15,9.9
0.1,GAT-SAC (Ours),16,15.366666666666667
0.1,GAT-SAC (Ours),17,14.066666666666666
0.1,GAT-SAC (Ours),18,15.283333333333333
0.1,GAT-SAC (Ours),19,10.483333333333333
0.1,GAT-SAC (Ours),20,10.633333333333333
0.1,DQN Baseline (Discrete),1,0.5333333333333333
0.1,DQN Baseline (Discrete),2,0.5333333333333333
0.1,DQN Baseline (Discrete),3,0.5166666666666666
0.1,DQN Baseline (Discrete),4,0.5666666666666667
0.1,DQN Baseline (Discrete),5,0.6
0.1,DQN Baseline (Discrete),6,0.5833333333333334
0.1,DQN Baseline (Discrete),7,0.4666666666666667
0.1,DQN Baseline (Discrete),8,0.6
0.1,DQN Baseline (Discrete),9,0.5666666666666667
0.1,DQN Baseline (Discrete),10,0.6166666666666667
0.1,DQN Baseline (Discrete),11,0.5666666666666667
0.1,DQN Baseline (Discrete),12,0.5666666666666667
0.1,DQN Baseline (Discrete),13,0.5
0.1,DQN Baseline (Discrete),14,0.5166666666666666
0.1,DQN Baseline (Discrete),15,0.65
0.1,DQN Baseline (Discrete),16,0.5833333333333334
0.1,DQN Baseline (Discrete),17,0.5166666666666666
0.1,DQN Baseline (Discrete),18,0.5666666666666667
0.1,DQN Baseline (Discrete),19,0.5666666666666667
0.1,DQN Baseline (Discrete),20,0.6
0.2,No Defence,1,4.35
0.2,No Defence,2,4.116666666666666
0.2,No Defence,3,3.9833333333333334
0.2,No Defence,4,3.533333333333333
0.2,No Defence,5,4.5
0.2,No Defence,6,3.4499999999999997
0.2,No Defence,7,4.0
0.2,No Defence,8,4.433333333333334
0.2,No Defence,9,3.216666666666667
0.2,No Defence,10,4.316666666666666
0.2,No Defence,11,3.5166666666666666
0.2,No Defence,12,3.4499999999999997
0.2,No Defence,13,3.3333333333333335
0.2,No Defence,14,3.8833333333333333
0.2,No Defence,15,3.6333333333333333
0.2,No Defence,16,5.016666666666667
0.2,No Defence,17,3.7666666666666666
0.2,No Defence,18,4.516666666666667
