id,number,begin,end,created,modified,severity,service_name,status_impact,external_desc,affected_products,affected_regions,source,name,status,impact,created_at,updated_at,resolved_at,started_at,affected_components,shortlink,duration_minutes,severity_load,incident_time,time_since_last,failure_rate_proxy,duration_load
pzh5b8cvfk2g,,,,,,,,,,,,atlassian,Performance issues and outages with Cloud products,postmortem,none,2023-07-06T11:18:50.943Z,2023-07-14T04:57:07.262Z,2023-07-06T15:37:19.645Z,2023-07-06T11:18:50.937Z,,https://stspg.io/y73s93jsl9d7,258.4784666666667,0.2,2023-07-06 11:18:50.937000+00:00,8044.617942222222,0.001388888888888889,0.5576117885805848
vk4mksp2hvj8,,,,,,,,,,,,atlassian,"Sign-ups, Product Activation, and Billing not working",resolved,none,2023-08-02T14:25:40.168Z,2023-08-02T15:59:20.040Z,2023-08-02T15:59:20.026Z,2023-08-02T14:25:40.161Z,,https://stspg.io/xq6c1zxx042m,93.66441666666668,0.2,2023-08-02 14:25:40.161000+00:00,651.1136733333333,0.0015358301337469482,0.45646180012063015
4jkh49j0jjh6,,,,,,,,,,,,atlassian,Infrastructure outage affecting attachments and Bitbucket Pipelines in all regions,resolved,none,2023-09-15T04:02:24.314Z,2023-09-15T05:19:25.636Z,2023-09-15T05:19:25.622Z,2023-09-15T04:02:24.307Z,,https://stspg.io/s2kkn9vx51tc,77.02191666666666,0.2,2023-09-15 04:02:24.307000+00:00,1045.612262777778,0.001388888888888889,0.4370662825939609
lgl84rzhxd0d,,,,,,,,,,,,atlassian,We are experiencing intermittent issues on Atlassian.com and Bitbucket Marketing pages,resolved,none,2023-09-29T16:26:31.000Z,2023-09-29T20:27:18.170Z,2023-09-29T20:27:18.153Z,2023-09-29T16:26:31.000Z,,https://stspg.io/7nk14plf0xcd,240.78588333333332,0.2,2023-09-29 16:26:31+00:00,348.40185916666667,0.0028702487477876093,0.5505275099091355
b2lqb2yxry16,,,,,,,,,,,,atlassian,"For a limited number of customers, activation for new products on some tenants is blocked",resolved,none,2023-10-04T14:28:06.493Z,2023-10-04T17:20:32.563Z,2023-10-04T17:20:32.547Z,2023-10-04T14:28:06.487Z,,https://stspg.io/9q0x4gy5g22l,172.4343333333333,0.2,2023-10-04 14:28:06.487000+00:00,118.02652416666668,0.008472671774929913,0.5171978915523741
3sf6vg9v8nqm,,,,,,,,,,,,atlassian,Email domain unverified,resolved,major,2023-10-24T00:22:32.906Z,2023-10-24T10:00:52.069Z,2023-10-24T10:00:52.049Z,2023-10-24T00:22:32.900Z,,https://stspg.io/xlcrsntd8s3p,578.3191499999999,0.7,2023-10-24 00:22:32.900000+00:00,465.9073369444444,0.0021463495435772493,0.6381818231202299
httczs7wslz8,,,,,,,,,,,,atlassian,Org admins unable to access User Management,resolved,none,2023-11-22T04:27:42.585Z,2023-11-22T04:27:42.630Z,2023-11-22T04:27:42.621Z,2023-11-22T04:27:42.581Z,,https://stspg.io/27c3y3x0cfz8,0.0006666666666666,0.2,2023-11-22 04:27:42.581000+00:00,700.0860225,0.0014283958940202951,0.0695322407169597
lvq7pq0zbgvr,,,,,,,,,,,,atlassian,Atlassian's cross product user search service is currently degraded.,postmortem,none,2023-12-18T15:04:25.450Z,2023-12-28T03:12:31.390Z,2023-12-19T03:28:15.244Z,2023-12-18T15:04:25.444Z,,https://stspg.io/3yxq4k25m6sr,743.83,0.2,2023-12-18 15:04:25.444000+00:00,634.6119063888889,0.0015757662122828217,0.6633909335485786
71sdcbz9gy53,,,,,,,,,,,,atlassian,Delayed SCIM provisioning syncs of users and groups from Identity Providers,resolved,none,2024-01-09T22:03:34.293Z,2024-01-12T17:13:28.854Z,2024-01-12T17:13:28.840Z,2024-01-09T22:03:34.285Z,,https://stspg.io/trcvys1bxjkn,4029.90925,0.2,2024-01-09 22:03:34.285000+00:00,534.9857891666667,0.0018692085289922816,0.8327799698772482
vnzwx0460yt8,,,,,,,,,,,,statuspage,Entity Data Delayed for US/EU Region,resolved,minor,2024-01-24T13:36:49.250Z,2024-01-24T14:42:46.032Z,2024-01-24T14:42:46.015Z,2024-01-24T13:36:49.238Z,"Event API : US, Event API : Europe",,65.94628333333334,0.4,2024-01-24 13:36:49.238000+00:00,351.55415361111113,0.002844511975546729,0.4217083158130042
